成交時間,盤別,買賣別,股票名稱,成交股數,成交價,成交價金
2025/01/22 09:11:37,盤中零股,現股買進,國泰永續高股息(00878),19,22.26,422
2025/01/22 09:11:37,盤中零股,現股買進,國泰永續高股息(00878),481,22.26,"10,707"
2025/02/03 09:27:42,盤中零股,現股買進,元大台灣50(0050),40,192.80,"7,712"
2025/02/03 09:10:37,盤中零股,現股買進,國泰永續高股息(00878),500,22.00,"11,000"
2025/02/12 10:56:05,普通,現股買進,中信NASDAQ(009800),"1,000",9.99,"9,990"
2025/02/12 11:08:34,盤中零股,現股買進,中信NASDAQ(009800),300,9.99,"2,997"
2025/02/13 13:24:48,盤中零股,現股買進,元大台灣50(0050),100,196.50,"19,650"
2025/02/14 11:19:32,盤中零股,現股買進,元大台灣50(0050),50,194.30,"9,715"
2025/02/14 10:17:37,盤中零股,現股買進,元大台灣50(0050),50,194.45,"9,722"
2025/02/14 11:43:52,盤中零股,現股買進,元大台灣50(0050),25,194.10,"4,852"
2025/02/24 09:13:58,盤中零股,現股買進,元大台灣50(0050),50,196.10,"9,805"
2025/02/24 09:12:02,盤中零股,現股買進,元大台灣50(0050),25,196.20,"4,905"
2025/02/25 10:13:12,盤中零股,現股買進,元大台灣50(0050),50,193.85,"9,692"
2025/03/03 09:17:00,盤中零股,現股買進,元大台灣50(0050),75,188.25,"14,118"
2025/03/03 09:33:44,盤中零股,現股買進,元大台灣50(0050),100,188.05,"18,805"
2025/03/11 10:14:25,盤中零股,現股買進,元大台灣50(0050),100,181.30,"18,130"
2025/03/12 09:10:00,盤中零股,現股買進,國泰永續高股息(00878),23,21.94,504
2025/03/24 09:19:47,盤中零股,現股買進,大魯閣(1432),1,19.60,19
2025/03/31 09:10:03,盤中零股,現股買進,元大台灣50(0050),44,173.95,"7,653"
2025/03/31 09:10:03,盤中零股,現股買進,元大台灣50(0050),26,173.95,"4,522"
2025/04/09 09:24:01,盤中零股,現股買進,元大台灣50(0050),250,152.75,"38,187"
2025/08/19 09:18:26,盤中零股,現股買進,元大台灣50(0050),30,53.30,"1,599"
2025/08/25 09:04:48,普通,現股賣出,國泰永續高股息(00878),"1,000",20.54,"20,540"
2025/08/25 09:36:43,盤中零股,現股賣出,國泰永續高股息(00878),23,20.49,471
2025/10/17 13:02:29,普通,現股賣出,元大台灣50(0050),"1,000",62.05,"62,050"
2025/10/17 13:03:20,盤中零股,現股買進,台積電(2330),42,"1,460.00","61,320"
