成交日期,交易類別,股票名稱,成交股數,成交單價,成交價金,手續費,交易稅,自備款擔保品,融資金保證金,融券費,標借費,利息,健保費,稅款,淨收付金額,幣別
2025/1/6,定期定額,富邦台50(006208),17,116.59,"1,982",1,0,0,0,0,0,0,0,0,"-1,983",新台幣
2025/1/22,現股買進,國泰永續高股息(00878),500,22.26,"11,130",15,0,0,0,0,0,0,0,0,"-11,145",新台幣
2025/2/3,現股買進,元大台灣50(0050),40,192.8,"7,712",10,0,0,0,0,0,0,0,0,"-7,722",新台幣
2025/2/3,現股買進,國泰永續高股息(00878),500,22,"11,000",15,0,0,0,0,0,0,0,0,"-11,015",新台幣
2025/2/6,定期定額,富邦台50(006208),17,116.18,"1,975",1,0,0,0,0,0,0,0,0,"-1,976",新台幣
2025/2/10,定期定額,元大台灣50(0050),50,196.96,"9,848",1,0,0,0,0,0,0,0,0,"-9,849",新台幣
2025/2/12,現股買進,中信NASDAQ(009800),"1,000",9.99,"9,990",20,0,0,0,0,0,0,0,0,"-10,010",新台幣
2025/2/12,現股買進,中信NASDAQ(009800),300,9.99,"2,997",4,0,0,0,0,0,0,0,0,"-3,001",新台幣
2025/2/13,現股買進,元大台灣50(0050),100,196.5,"19,650",28,0,0,0,0,0,0,0,0,"-19,678",新台幣
2025/2/14,現股買進,元大台灣50(0050),25,194.1,"4,852",6,0,0,0,0,0,0,0,0,"-4,858",新台幣
2025/2/14,現股買進,元大台灣50(0050),50,194.3,"9,715",13,0,0,0,0,0,0,0,0,"-9,728",新台幣
2025/2/14,現股買進,元大台灣50(0050),50,194.45,"9,722",13,0,0,0,0,0,0,0,0,"-9,735",新台幣
2025/2/17,定期定額,元大台灣50(0050),50,196.33,"9,816",1,0,0,0,0,0,0,0,0,"-9,817",新台幣
2025/2/24,定期定額,元大台灣50(0050),51,195.98,"9,994",1,0,0,0,0,0,0,0,0,"-9,995",新台幣
2025/2/24,現股買進,元大台灣50(0050),50,196.1,"9,805",13,0,0,0,0,0,0,0,0,"-9,818",新台幣
2025/2/24,現股買進,元大台灣50(0050),25,196.2,"4,905",6,0,0,0,0,0,0,0,0,"-4,911",新台幣
2025/2/25,現股買進,元大台灣50(0050),50,193.85,"9,692",13,0,0,0,0,0,0,0,0,"-9,705",新台幣
2025/3/3,現股買進,元大台灣50(0050),100,188.05,"18,805",26,0,0,0,0,0,0,0,0,"-18,831",新台幣
2025/3/3,現股買進,元大台灣50(0050),75,188.25,"14,118",20,0,0,0,0,0,0,0,0,"-14,138",新台幣
2025/3/11,現股買進,元大台灣50(0050),100,181.3,"18,130",25,0,0,0,0,0,0,0,0,"-18,155",新台幣
2025/3/12,現股買進,國泰永續高股息(00878),23,21.94,504,1,0,0,0,0,0,0,0,0,-505,新台幣
2025/3/24,現股買進,大魯閣(1432),1,19.6,19,1,0,0,0,0,0,0,0,0,-20,新台幣
2025/3/31,現股買進,元大台灣50(0050),70,173.95,"12,176",17,0,0,0,0,0,0,0,0,"-12,193",新台幣
2025/4/9,現股買進,元大台灣50(0050),250,152.75,"38,187",54,0,0,0,0,0,0,0,0,"-38,241",新台幣
2025/8/19,現股買進,元大台灣50(0050),30,53.3,"1,599",2,0,0,0,0,0,0,0,0,"-1,601",新台幣
2025/8/25,現股賣出,國泰永續高股息(00878),23,20.49,471,1,0,0,0,0,0,0,0,0,470,新台幣
2025/8/25,現股賣出,國泰永續高股息(00878),"1,000",20.54,"20,540",29,20,0,0,0,0,0,0,0,"20,491",新台幣
2025/10/17,現股賣出,元大台灣50(0050),"1,000",62.05,"62,050",88,62,0,0,0,0,0,0,0,"61,900",新台幣
2025/10/17,現股買進,台積電(2330),42,"1,460.00","61,320",87,0,0,0,0,0,0,0,0,"-61,407",新台幣
